id,class_label,items_json
32,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""ایل"", ""ایل_پاکستان"", ""ایچ"", ""ایچ_بی"", ""بی"", ""بی_ایل"", ""پاکستان"", ""پاکستان_amenity""]"
33,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity"", ""عسکری"", ""عسکری_بینک""]"
34,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""بینک"", ""بینک_amenity"", ""عسکری"", ""عسکری_بینک""]"
35,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank"", ""بینک"", ""بینک_amenity"", ""عسکری"", ""عسکری_بینک""]"
36,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity"", ""عسکری"", ""عسکری_بینک""]"
37,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity"", ""عسکری"", ""عسکری_بینک""]"
38,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity""]"
39,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_kurram"", ""kurram"", ""kurram_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity"", ""میزان"", ""میزان_بینک""]"
40,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_school"", ""school"", ""school_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_amenity"", ""میزان"", ""میزان_بینک""]"
41,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""tag:amenity=bank"", ""آباد"", ""آف"", ""آف_پاکستان"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_آف"", ""نیشنل"", ""نیشنل_بینک"", ""پاکستان"", ""پاکستان_amenity""]"
42,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=bank"", ""tag:building=yes"", ""آباد"", ""آف"", ""آف_پاکستان"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_آف"", ""نیشنل"", ""نیشنل_بینک"", ""پاکستان"", ""پاکستان_amenity""]"
43,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""college"", ""college_اسلام"", ""islamabad"", ""islamabad_college"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_لمیٹڈ"", ""لمیٹڈ"", ""لمیٹڈ_amenity"", ""یونائیٹڈ"", ""یونائیٹڈ_بینک""]"
44,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""islamabad_school"", ""school"", ""school_اسلام"", ""tag:amenity=bank"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""بینک"", ""بینک_لمیٹڈ"", ""لمیٹڈ"", ""لمیٹڈ_amenity"", ""یونائیٹڈ"", ""یونائیٹڈ_بینک""]"
45,amenity:bank,"[""amenity"", ""amenity_bank"", ""bank"", ""bank_islamabad"", ""islamabad"", ""tag:amenity=bank""]"
46,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""stall"", ""tag:amenity=cafe""]"
47,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""bilal"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_ravi"", ""ravi"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
48,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""f-6"", ""f-6_service"", ""f-6_اسلام"", ""islamabad"", ""islamabad_service"", ""service"", ""service_south"", ""service_west"", ""south"", ""south_f-6"", ""tag:amenity=cafe"", ""west"", ""west_f-6"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
49,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_school"", ""school"", ""school_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
50,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
51,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_johar"", ""johar"", ""johar_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
52,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""constitution"", ""constitution_اسلام"", ""islamabad"", ""islamabad_constitution"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
53,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""café"", ""college"", ""college_اسلام"", ""islamabad"", ""islamabad_college"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
54,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""f-6"", ""f-6_service"", ""f-6_اسلام"", ""islamabad"", ""islamabad_service"", ""service"", ""service_south"", ""service_west"", ""south"", ""south_f-6"", ""tag:amenity=cafe"", ""west"", ""west_f-6"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
55,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""capital"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
56,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""iqbal"", ""islamabad"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
57,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""café"", ""café_amenity"", ""club"", ""islamabad"", ""market"", ""tag:amenity=cafe""]"
58,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
59,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""chaman"", ""islamabad"", ""stall"", ""stall_amenity"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
60,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""f-8"", ""f-8_markaz"", ""habibi"", ""islamabad"", ""markaz"", ""markaz_اسلام"", ""resturant"", ""resturant_amenity"", ""tag:amenity=cafe"", ""tag:building=yes"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
61,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
62,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe"", ""tag:building=yes""]"
63,amenity:cafe,"[""10th"", ""10th_اسلام"", ""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_10th"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
64,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_johar"", ""johar"", ""johar_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
65,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""tag:building=yes"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
66,amenity:cafe,"[""afandi"", ""afandi_اسلام"", ""ali"", ""ali_afandi"", ""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""gelato"", ""hassan"", ""hassan_ali"", ""islamabad"", ""islamabad_hassan"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
67,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_jinnah"", ""jinnah"", ""jinnah_اسلام"", ""place"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
68,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe""]"
69,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""restaurant"", ""restaurant_amenity"", ""tag:amenity=cafe"", ""tag:building=yes""]"
70,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""main"", ""numl"", ""tag:amenity=cafe""]"
71,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""numl"", ""second"", ""tag:amenity=cafe""]"
72,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""numl"", ""old"", ""tag:amenity=cafe""]"
73,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""f-6"", ""f-6_service"", ""f-6_اسلام"", ""islamabad"", ""islamabad_service"", ""old"", ""school"", ""service"", ""service_south"", ""service_west"", ""south"", ""south_f-6"", ""tag:amenity=cafe"", ""west"", ""west_f-6"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
74,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""café"", ""café_amenity"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
75,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""quetta"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
76,amenity:cafe,"[""11a"", ""11a_اسلام"", ""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_11a"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
77,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe""]"
78,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
79,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""club"", ""club_amenity"", ""islamabad"", ""tag:amenity=cafe""]"
80,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
81,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""buksh"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
82,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
83,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""café"", ""café_amenity"", ""islamabad"", ""islamabad_no"", ""no"", ""no_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
84,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""market"", ""tag:amenity=cafe""]"
85,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
86,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe""]"
87,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe"", ""tag:building=yes""]"
88,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_sumbal"", ""sumbal"", ""sumbal_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
89,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""gelato"", ""islamabad"", ""tag:amenity=cafe""]"
90,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""hot"", ""hot_spot"", ""islamabad"", ""islamabad_اسلام"", ""spot"", ""spot_amenity"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
91,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""hot"", ""hot_spot"", ""islamabad"", ""spot"", ""tag:amenity=cafe""]"
92,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""hilal"", ""islamabad"", ""islamabad_hilal"", ""plaza"", ""spot"", ""spot_amenity"", ""square"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
93,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد""]"
94,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_amenity"", ""cafe_islamabad"", ""islamabad"", ""khan"", ""tag:amenity=cafe"", ""tag:building=yes""]"
95,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""stall"", ""stall_amenity"", ""tag:amenity=cafe""]"
96,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_سروس"", ""tag:amenity=cafe"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""جی-11"", ""جی-11_اسلام"", ""روڈ"", ""روڈ_ویسٹ"", ""سروس"", ""سروس_روڈ"", ""ویسٹ"", ""ویسٹ_جی-11"", ""ہوٹل""]"
97,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe"", ""کیفے"", ""کیفے_amenity""]"
98,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe"", ""tag:shop=coffee"", ""جینز"", ""جینز_amenity"", ""گلوریا"", ""گلوریا_جینز""]"
99,amenity:cafe,"[""afandi"", ""afandi_اسلام"", ""ali"", ""ali_afandi"", ""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""hassan"", ""hassan_ali"", ""islamabad"", ""islamabad_hassan"", ""tag:amenity=cafe"", ""tag:shop=coffee"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""جینز"", ""جینز_amenity"", ""گلوریا"", ""گلوریا_جینز""]"
100,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""tag:shop=coffee"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""جینز"", ""جینز_amenity"", ""گلوریا"", ""گلوریا_جینز""]"
101,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""islamabad_اسلام"", ""tag:amenity=cafe"", ""tag:shop=coffee"", ""آباد"", ""اسلام"", ""اسلام_آباد"", ""جینز"", ""جینز_amenity"", ""گلوریا"", ""گلوریا_جینز""]"
102,amenity:cafe,"[""amenity"", ""amenity_cafe"", ""cafe"", ""cafe_islamabad"", ""islamabad"", ""tag:amenity=cafe"", ""tag:building=yes"", ""tag:shop=coffee"", ""جینز"", ""جینز_amenity"", ""گلوریا"", ""گلوریا_جینز""]"
