sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value,target_label
kya islamabad main koi bada general store khula hai?,general store,bada,ur,Islamabad,shop,convenience,shop__convenience
"avoid the dining place in dha, it is not affordable.",dining place,affordable,en,Lahore,amenity,restaurant,amenity__restaurant
suna hai ke islamabad main sab se khubsurat sauda salf ki dukaan wahan hai.,sauda salf ki dukaan,khubsurat,ur,Islamabad,shop,convenience,shop__convenience
we visited the most biggest jogging track in islamabad yesterday.,jogging track,biggest,en,Islamabad,leisure,park,leisure__park
kya islamabad main koi qareebi tikka shop khula hai?,tikka shop,qareebi,ur,Islamabad,amenity,restaurant,amenity__restaurant
mujhay saddar ke qareeb koi mashoor chai wala chahiye.,chai wala,mashoor,ur,Peshawar,amenity,cafe,amenity__cafe
university road wala hotel kaafi sasta hai.,hotel,sasta,ur,Peshawar,amenity,restaurant,amenity__restaurant
is there any best coffee shop open in karachi right now?,coffee shop,best,en,Karachi,amenity,cafe,amenity__cafe
university road wala ground kaafi mashoor hai.,ground,mashoor,ur,Peshawar,leisure,park,leisure__park
the university road in peshawar has an best police station.,police station,best,en,Peshawar,amenity,police,amenity__police
the saddar in rawalpindi has an crowded bistro.,bistro,crowded,en,Rawalpindi,amenity,restaurant,amenity__restaurant
is there any cheap precinct open in islamabad right now?,precinct,cheap,en,Islamabad,amenity,police,amenity__police
we visited the most luxury lodge in rawalpindi yesterday.,lodge,luxury,en,Rawalpindi,tourism,hotel,tourism__hotel
saddar main jo thana hai wo bohat behtareen hai.,thana,behtareen,ur,Peshawar,amenity,police,amenity__police
suna hai ke rawalpindi main sab se khubsurat park wahan hai.,park,khubsurat,ur,Rawalpindi,leisure,park,leisure__park
does rawalpindi have any clean coffee shop for tourists?,coffee shop,clean,en,Rawalpindi,amenity,cafe,amenity__cafe
there is a famous eatery in defence which is very luxury.,eatery,luxury,en,Karachi,amenity,restaurant,amenity__restaurant
does islamabad have any clean resort for tourists?,resort,clean,en,Islamabad,tourism,hotel,tourism__hotel
there is a famous park in tariq road which is very popular.,park,popular,en,Karachi,leisure,park,leisure__park
is there any oldest cafe open in lahore right now?,cafe,oldest,en,Lahore,amenity,cafe,amenity__cafe
i am looking for a crowded police station near saddar.,police station,crowded,en,Karachi,amenity,police,amenity__police
kya peshawar main koi behtareen darzi khula hai?,darzi,behtareen,ur,Peshawar,shop,tailor,shop__tailor
hum ne university road main aik khubsurat bagh dekha.,bagh,khubsurat,ur,Peshawar,leisure,park,leisure__park
i am looking for a oldest convenience store near university road.,convenience store,oldest,en,Peshawar,shop,convenience,shop__convenience
can you recommend a luxury cafe around gulberg?,cafe,luxury,en,Lahore,amenity,cafe,amenity__cafe
does peshawar have any affordable garden for tourists?,garden,affordable,en,Peshawar,leisure,park,leisure__park
the saddar in karachi has an famous coffee shop.,coffee shop,famous,en,Karachi,amenity,cafe,amenity__cafe
i am looking for a affordable garment shop near gulberg.,garment shop,affordable,en,Lahore,shop,clothes,shop__clothes
hum ne hayatabad main aik lajawab general store dekha.,general store,lajawab,ur,Peshawar,shop,convenience,shop__convenience
saddar main jo kapron ki dukaan hai wo bohat rush wala hai.,kapron ki dukaan,rush wala,ur,Rawalpindi,shop,clothes,shop__clothes
agar purana darzi dhoond rahay ho to gulshan jao.,darzi,purana,ur,Karachi,shop,tailor,shop__tailor
i am looking for a nearby playground near clifton.,playground,nearby,en,Karachi,leisure,park,leisure__park
"avoid the resort in bahria town, it is not historic.",resort,historic,en,Rawalpindi,tourism,hotel,tourism__hotel
hum ne defence main aik saaf suthra sair gah dekha.,sair gah,saaf suthra,ur,Karachi,leisure,park,leisure__park
agar mashoor ground dhoond rahay ho to clifton jao.,ground,mashoor,ur,Karachi,leisure,park,leisure__park
we visited the most best tailor shop in islamabad yesterday.,tailor shop,best,en,Islamabad,shop,tailor,shop__tailor
the mall road in lahore has an cheap garden.,garden,cheap,en,Lahore,leisure,park,leisure__park
"avoid the park in hayatabad, it is not historic.",park,historic,en,Peshawar,leisure,park,leisure__park
hum ne liberty market main aik rush wala chai wala dekha.,chai wala,rush wala,ur,Lahore,amenity,cafe,amenity__cafe
i am looking for a oldest police station near saddar.,police station,oldest,en,Karachi,amenity,police,amenity__police
mujhay university road ke qareeb koi mehnga tailor shop chahiye.,tailor shop,mehnga,ur,Peshawar,shop,tailor,shop__tailor
the centaurus in islamabad has an crowded coffee shop.,coffee shop,crowded,en,Islamabad,amenity,cafe,amenity__cafe
hum ne f-7 main aik rush wala thana dekha.,thana,rush wala,ur,Islamabad,amenity,police,amenity__police
blue area main jo kapron ki dukaan hai wo bohat rush wala hai.,kapron ki dukaan,rush wala,ur,Islamabad,shop,clothes,shop__clothes
clifton wala silai markaz kaafi khubsurat hai.,silai markaz,khubsurat,ur,Karachi,shop,tailor,shop__tailor
"avoid the lodge in commercial market, it is not affordable.",lodge,affordable,en,Rawalpindi,tourism,hotel,tourism__hotel
islamabad ke g-9 main aik bohat mehnga musafir khana hai.,musafir khana,mehnga,ur,Islamabad,tourism,hotel,tourism__hotel
"avoid the jogging track in gulberg, it is not best.",jogging track,best,en,Lahore,leisure,park,leisure__park
i am looking for a oldest cafe near gulshan.,cafe,oldest,en,Karachi,amenity,cafe,amenity__cafe
suna hai ke peshawar main sab se mashoor chai wala wahan hai.,chai wala,mashoor,ur,Peshawar,amenity,cafe,amenity__cafe
karachi ke defence main aik bohat bada kapron ki dukaan hai.,kapron ki dukaan,bada,ur,Karachi,shop,clothes,shop__clothes
the g-9 in islamabad has an clean precinct.,precinct,clean,en,Islamabad,amenity,police,amenity__police
kya islamabad main koi purana fashion center khula hai?,fashion center,purana,ur,Islamabad,shop,clothes,shop__clothes
liberty market main jo kiryana store hai wo bohat rush wala hai.,kiryana store,rush wala,ur,Lahore,shop,convenience,shop__convenience
kya karachi main koi khubsurat thana khula hai?,thana,khubsurat,ur,Karachi,amenity,police,amenity__police
hum ne anarkali main aik qareebi silai markaz dekha.,silai markaz,qareebi,ur,Lahore,shop,tailor,shop__tailor
can you recommend a biggest convenience store around g-9?,convenience store,biggest,en,Islamabad,shop,convenience,shop__convenience
is there any cheap restaurant open in islamabad right now?,restaurant,cheap,en,Islamabad,amenity,restaurant,amenity__restaurant
hum ne commercial market main aik saaf suthra hotel dekha.,hotel,saaf suthra,ur,Rawalpindi,tourism,hotel,tourism__hotel
agar rush wala sair gah dhoond rahay ho to dha jao.,sair gah,rush wala,ur,Lahore,leisure,park,leisure__park
agar behtareen tailor shop dhoond rahay ho to defence jao.,tailor shop,behtareen,ur,Karachi,shop,tailor,shop__tailor
there is a famous guest house in saddar which is very oldest.,guest house,oldest,en,Peshawar,tourism,hotel,tourism__hotel
dha main jo dhaba hai wo bohat rush wala hai.,dhaba,rush wala,ur,Lahore,amenity,restaurant,amenity__restaurant
lahore ke mall road main aik bohat khubsurat park hai.,park,khubsurat,ur,Lahore,leisure,park,leisure__park
does lahore have any cheap clothing store for tourists?,clothing store,cheap,en,Lahore,shop,clothes,shop__clothes
g-9 main jo sair gah hai wo bohat bada hai.,sair gah,bada,ur,Islamabad,leisure,park,leisure__park
does rawalpindi have any affordable park for tourists?,park,affordable,en,Rawalpindi,leisure,park,leisure__park
mujhay gulberg ke qareeb koi qareebi quetta tea hotel chahiye.,quetta tea hotel,qareebi,ur,Lahore,amenity,cafe,amenity__cafe
suna hai ke islamabad main sab se rush wala chowki wahan hai.,chowki,rush wala,ur,Islamabad,amenity,police,amenity__police
the dha in lahore has an cheap fashion outlet.,fashion outlet,cheap,en,Lahore,shop,clothes,shop__clothes
can you recommend a best playground around raja bazaar?,playground,best,en,Rawalpindi,leisure,park,leisure__park
is there any historic tea house open in lahore right now?,tea house,historic,en,Lahore,amenity,cafe,amenity__cafe
agar mehnga musafir khana dhoond rahay ho to gulshan jao.,musafir khana,mehnga,ur,Karachi,tourism,hotel,tourism__hotel
i am looking for a affordable grocery store near saddar.,grocery store,affordable,en,Karachi,shop,convenience,shop__convenience
university road wala cafe kaafi qareebi hai.,cafe,qareebi,ur,Peshawar,amenity,cafe,amenity__cafe
the g-9 in islamabad has an oldest fashion outlet.,fashion outlet,oldest,en,Islamabad,shop,clothes,shop__clothes
mujhay university road ke qareeb koi bada hotel chahiye.,hotel,bada,ur,Peshawar,amenity,restaurant,amenity__restaurant
can you recommend a nearby guest house around g-9?,guest house,nearby,en,Islamabad,tourism,hotel,tourism__hotel
we visited the most clean convenience store in karachi yesterday.,convenience store,clean,en,Karachi,shop,convenience,shop__convenience
agar pur-sukoon guest house dhoond rahay ho to bahria town jao.,guest house,pur-sukoon,ur,Rawalpindi,tourism,hotel,tourism__hotel
we visited the most popular coffee shop in karachi yesterday.,coffee shop,popular,en,Karachi,amenity,cafe,amenity__cafe
"avoid the park in saddar, it is not famous.",park,famous,en,Rawalpindi,leisure,park,leisure__park
the defence in karachi has an cheap restaurant.,restaurant,cheap,en,Karachi,amenity,restaurant,amenity__restaurant
bahria town wala sair gah kaafi pur-sukoon hai.,sair gah,pur-sukoon,ur,Rawalpindi,leisure,park,leisure__park
"avoid the tea house in mall road, it is not affordable.",tea house,affordable,en,Lahore,amenity,cafe,amenity__cafe
kya peshawar main koi lajawab thana khula hai?,thana,lajawab,ur,Peshawar,amenity,police,amenity__police
there is a famous police station in bahria town which is very nearby.,police station,nearby,en,Rawalpindi,amenity,police,amenity__police
agar sasta cloth market dhoond rahay ho to saddar jao.,cloth market,sasta,ur,Karachi,shop,clothes,shop__clothes
we visited the most clean convenience store in lahore yesterday.,convenience store,clean,en,Lahore,shop,convenience,shop__convenience
can you recommend a crowded precinct around bahria town?,precinct,crowded,en,Rawalpindi,amenity,police,amenity__police
hum ne f-11 markaz main aik purana cafe dekha.,cafe,purana,ur,Islamabad,amenity,cafe,amenity__cafe
there is a famous stitching center in anarkali which is very historic.,stitching center,historic,en,Lahore,shop,tailor,shop__tailor
can you recommend a biggest garment shop around centaurus?,garment shop,biggest,en,Islamabad,shop,clothes,shop__clothes
mujhay bahria town ke qareeb koi purana sauda salf ki dukaan chahiye.,sauda salf ki dukaan,purana,ur,Rawalpindi,shop,convenience,shop__convenience
we visited the most affordable tailor shop in rawalpindi yesterday.,tailor shop,affordable,en,Rawalpindi,shop,tailor,shop__tailor
suna hai ke islamabad main sab se mehnga darzi wahan hai.,darzi,mehnga,ur,Islamabad,shop,tailor,shop__tailor
hum ne bahria town main aik rush wala hotel dekha.,hotel,rush wala,ur,Rawalpindi,tourism,hotel,tourism__hotel
does islamabad have any cheap restaurant for tourists?,restaurant,cheap,en,Islamabad,amenity,restaurant,amenity__restaurant
is there any cheap stitching center open in lahore right now?,stitching center,cheap,en,Lahore,shop,tailor,shop__tailor
rawalpindi ke commercial market main aik bohat pur-sukoon chai wala hai.,chai wala,pur-sukoon,ur,Rawalpindi,amenity,cafe,amenity__cafe
i am looking for a clean tuck shop near anarkali.,tuck shop,clean,en,Lahore,shop,convenience,shop__convenience
kya lahore main koi purana sair gah khula hai?,sair gah,purana,ur,Lahore,leisure,park,leisure__park
mujhay hayatabad ke qareeb koi sasta park chahiye.,park,sasta,ur,Peshawar,leisure,park,leisure__park
commercial market wala sair gah kaafi pur-sukoon hai.,sair gah,pur-sukoon,ur,Rawalpindi,leisure,park,leisure__park
hum ne gulshan main aik pur-sukoon thana dekha.,thana,pur-sukoon,ur,Karachi,amenity,police,amenity__police
is there any biggest garment shop open in rawalpindi right now?,garment shop,biggest,en,Rawalpindi,shop,clothes,shop__clothes
the defence in karachi has an historic lodge.,lodge,historic,en,Karachi,tourism,hotel,tourism__hotel
gulberg main jo chowki hai wo bohat mehnga hai.,chowki,mehnga,ur,Lahore,amenity,police,amenity__police
the saddar in karachi has an historic coffee shop.,coffee shop,historic,en,Karachi,amenity,cafe,amenity__cafe
can you recommend a famous hotel around karkhano?,hotel,famous,en,Peshawar,tourism,hotel,tourism__hotel
agar sasta tailor shop dhoond rahay ho to tariq road jao.,tailor shop,sasta,ur,Karachi,shop,tailor,shop__tailor
we visited the most popular fashion outlet in rawalpindi yesterday.,fashion outlet,popular,en,Rawalpindi,shop,clothes,shop__clothes
mall road main jo silai markaz hai wo bohat saaf suthra hai.,silai markaz,saaf suthra,ur,Lahore,shop,tailor,shop__tailor
hum ne saddar main aik behtareen kapron ki dukaan dekha.,kapron ki dukaan,behtareen,ur,Karachi,shop,clothes,shop__clothes
anarkali wala police station kaafi behtareen hai.,police station,behtareen,ur,Lahore,amenity,police,amenity__police
lahore ke gulberg main aik bohat purana fashion center hai.,fashion center,purana,ur,Lahore,shop,clothes,shop__clothes
saddar wala police station kaafi saaf suthra hai.,police station,saaf suthra,ur,Peshawar,amenity,police,amenity__police
does islamabad have any cheap hotel for tourists?,hotel,cheap,en,Islamabad,tourism,hotel,tourism__hotel
rawalpindi ke raja bazaar main aik bohat sasta police station hai.,police station,sasta,ur,Rawalpindi,amenity,police,amenity__police
can you recommend a cheap mini mart around blue area?,mini mart,cheap,en,Islamabad,shop,convenience,shop__convenience
agar lajawab dukaan dhoond rahay ho to f-11 markaz jao.,dukaan,lajawab,ur,Islamabad,shop,convenience,shop__convenience
i am looking for a oldest restaurant near commercial market.,restaurant,oldest,en,Rawalpindi,amenity,restaurant,amenity__restaurant
"avoid the playground in karkhano, it is not oldest.",playground,oldest,en,Peshawar,leisure,park,leisure__park
there is a famous resort in bahria town which is very clean.,resort,clean,en,Rawalpindi,tourism,hotel,tourism__hotel
saddar main jo general store hai wo bohat khubsurat hai.,general store,khubsurat,ur,Rawalpindi,shop,convenience,shop__convenience
karachi ke defence main aik bohat sasta bagh hai.,bagh,sasta,ur,Karachi,leisure,park,leisure__park
i am looking for a famous clothing store near saddar.,clothing store,famous,en,Peshawar,shop,clothes,shop__clothes
lahore ke mall road main aik bohat purana chowki hai.,chowki,purana,ur,Lahore,amenity,police,amenity__police
agar mashoor guest house dhoond rahay ho to anarkali jao.,guest house,mashoor,ur,Lahore,tourism,hotel,tourism__hotel
there is a famous guest house in saddar which is very nearby.,guest house,nearby,en,Peshawar,tourism,hotel,tourism__hotel
does karachi have any luxury garment shop for tourists?,garment shop,luxury,en,Karachi,shop,clothes,shop__clothes
rawalpindi ke commercial market main aik bohat mehnga chaye khana hai.,chaye khana,mehnga,ur,Rawalpindi,amenity,cafe,amenity__cafe
i am looking for a historic resort near gulshan.,resort,historic,en,Karachi,tourism,hotel,tourism__hotel
we visited the most nearby garment shop in rawalpindi yesterday.,garment shop,nearby,en,Rawalpindi,shop,clothes,shop__clothes
"avoid the eatery in defence, it is not affordable.",eatery,affordable,en,Karachi,amenity,restaurant,amenity__restaurant
kya rawalpindi main koi rush wala fashion center khula hai?,fashion center,rush wala,ur,Rawalpindi,shop,clothes,shop__clothes
hum ne gulshan main aik khubsurat tikka shop dekha.,tikka shop,khubsurat,ur,Karachi,amenity,restaurant,amenity__restaurant
rawalpindi ke commercial market main aik bohat sasta police station hai.,police station,sasta,ur,Rawalpindi,amenity,police,amenity__police
kya karachi main koi pur-sukoon cafe khula hai?,cafe,pur-sukoon,ur,Karachi,amenity,cafe,amenity__cafe
can you recommend a affordable fashion outlet around tariq road?,fashion outlet,affordable,en,Karachi,shop,clothes,shop__clothes
lahore ke gulberg main aik bohat bada guest house hai.,guest house,bada,ur,Lahore,tourism,hotel,tourism__hotel
there is a famous hotel in liberty market which is very biggest.,hotel,biggest,en,Lahore,tourism,hotel,tourism__hotel
does karachi have any clean garment shop for tourists?,garment shop,clean,en,Karachi,shop,clothes,shop__clothes
"avoid the eatery in anarkali, it is not clean.",eatery,clean,en,Lahore,amenity,restaurant,amenity__restaurant
defence main jo chaye khana hai wo bohat khubsurat hai.,chaye khana,khubsurat,ur,Karachi,amenity,cafe,amenity__cafe
suna hai ke karachi main sab se mashoor boutique wahan hai.,boutique,mashoor,ur,Karachi,shop,clothes,shop__clothes
hum ne hayatabad main aik sasta khanay ka center dekha.,khanay ka center,sasta,ur,Peshawar,amenity,restaurant,amenity__restaurant
tariq road main jo silai markaz hai wo bohat mashoor hai.,silai markaz,mashoor,ur,Karachi,shop,tailor,shop__tailor
agar rush wala silai markaz dhoond rahay ho to saddar jao.,silai markaz,rush wala,ur,Peshawar,shop,tailor,shop__tailor
hum ne centaurus main aik saaf suthra thana dekha.,thana,saaf suthra,ur,Islamabad,amenity,police,amenity__police
hum ne blue area main aik lajawab silai markaz dekha.,silai markaz,lajawab,ur,Islamabad,shop,tailor,shop__tailor
hum ne defence main aik khubsurat cafe dekha.,cafe,khubsurat,ur,Karachi,amenity,cafe,amenity__cafe
the liberty market in lahore has an famous clothing store.,clothing store,famous,en,Lahore,shop,clothes,shop__clothes
the saddar in rawalpindi has an historic tea house.,tea house,historic,en,Rawalpindi,amenity,cafe,amenity__cafe
kya peshawar main koi mashoor sauda salf ki dukaan khula hai?,sauda salf ki dukaan,mashoor,ur,Peshawar,shop,convenience,shop__convenience
the f-7 in islamabad has an cheap boutique.,boutique,cheap,en,Islamabad,shop,clothes,shop__clothes
does peshawar have any popular police station for tourists?,police station,popular,en,Peshawar,amenity,police,amenity__police
agar behtareen darzi dhoond rahay ho to centaurus jao.,darzi,behtareen,ur,Islamabad,shop,tailor,shop__tailor
is there any luxury tea house open in karachi right now?,tea house,luxury,en,Karachi,amenity,cafe,amenity__cafe
we visited the most oldest stitching center in peshawar yesterday.,stitching center,oldest,en,Peshawar,shop,tailor,shop__tailor
peshawar ke saddar main aik bohat saaf suthra dhaba hai.,dhaba,saaf suthra,ur,Peshawar,amenity,restaurant,amenity__restaurant
"avoid the stitching center in university road, it is not best.",stitching center,best,en,Peshawar,shop,tailor,shop__tailor
mujhay gulberg ke qareeb koi rush wala chaye khana chahiye.,chaye khana,rush wala,ur,Lahore,amenity,cafe,amenity__cafe
agar mashoor tailor shop dhoond rahay ho to saddar jao.,tailor shop,mashoor,ur,Rawalpindi,shop,tailor,shop__tailor
gulberg main jo cafe hai wo bohat mehnga hai.,cafe,mehnga,ur,Lahore,amenity,cafe,amenity__cafe
there is a famous tailor shop in commercial market which is very affordable.,tailor shop,affordable,en,Rawalpindi,shop,tailor,shop__tailor
anarkali main jo restaurant hai wo bohat rush wala hai.,restaurant,rush wala,ur,Lahore,amenity,restaurant,amenity__restaurant
there is a famous restaurant in centaurus which is very luxury.,restaurant,luxury,en,Islamabad,amenity,restaurant,amenity__restaurant
does peshawar have any historic coffee shop for tourists?,coffee shop,historic,en,Peshawar,amenity,cafe,amenity__cafe
hum ne saddar main aik lajawab dukaan dekha.,dukaan,lajawab,ur,Rawalpindi,shop,convenience,shop__convenience
is there any popular stitching center open in lahore right now?,stitching center,popular,en,Lahore,shop,tailor,shop__tailor
kya rawalpindi main koi behtareen guest house khula hai?,guest house,behtareen,ur,Rawalpindi,tourism,hotel,tourism__hotel
the bahria town in rawalpindi has an luxury coffee shop.,coffee shop,luxury,en,Rawalpindi,amenity,cafe,amenity__cafe
kya karachi main koi sasta silai markaz khula hai?,silai markaz,sasta,ur,Karachi,shop,tailor,shop__tailor
"avoid the cafe in saddar, it is not popular.",cafe,popular,en,Rawalpindi,amenity,cafe,amenity__cafe
"avoid the precinct in gulberg, it is not clean.",precinct,clean,en,Lahore,amenity,police,amenity__police
does lahore have any crowded convenience store for tourists?,convenience store,crowded,en,Lahore,shop,convenience,shop__convenience
islamabad ke centaurus main aik bohat khubsurat khanay ka center hai.,khanay ka center,khubsurat,ur,Islamabad,amenity,restaurant,amenity__restaurant
can you recommend a historic restaurant around blue area?,restaurant,historic,en,Islamabad,amenity,restaurant,amenity__restaurant
"avoid the cafe in hayatabad, it is not oldest.",cafe,oldest,en,Peshawar,amenity,cafe,amenity__cafe
we visited the most luxury boutique in islamabad yesterday.,boutique,luxury,en,Islamabad,shop,clothes,shop__clothes
does islamabad have any biggest police station for tourists?,police station,biggest,en,Islamabad,amenity,police,amenity__police
is there any best resort open in rawalpindi right now?,resort,best,en,Rawalpindi,tourism,hotel,tourism__hotel
can you recommend a luxury eatery around anarkali?,eatery,luxury,en,Lahore,amenity,restaurant,amenity__restaurant
we visited the most crowded park in lahore yesterday.,park,crowded,en,Lahore,leisure,park,leisure__park
kya islamabad main koi mehnga chaye khana khula hai?,chaye khana,mehnga,ur,Islamabad,amenity,cafe,amenity__cafe
