sentence,extracted_noun,extracted_adj,language,city,osm_key,osm_value
The Mall Road in Lahore has an famous jogging track.,jogging track,famous,en,Lahore,leisure,park
Hum ne Anarkali main aik qareebi silai markaz dekha.,silai markaz,qareebi,ur,Lahore,shop,tailor
The Karkhano in Peshawar has an historic resort.,resort,historic,en,Peshawar,tourism,hotel
Karachi ke Defence main aik bohat sasta thana hai.,thana,sasta,ur,Karachi,amenity,police
Karachi ke Gulshan main aik bohat behtareen masjid hai.,masjid,behtareen,ur,Karachi,amenity,mosque
"Avoid the garden in Saddar, it is not oldest.",garden,oldest,en,Rawalpindi,leisure,park
Lahore ke Liberty Market main aik bohat lajawab clinic hai.,clinic,lajawab,ur,Lahore,amenity,hospital
Can you recommend a clean tuck shop around Raja Bazaar?,tuck shop,clean,en,Rawalpindi,shop,convenience
Mujhay Liberty Market ke qareeb koi behtareen masjid chahiye.,masjid,behtareen,ur,Lahore,amenity,mosque
Lahore ke Liberty Market main aik bohat mashoor masjid hai.,masjid,mashoor,ur,Lahore,amenity,mosque
"Avoid the playground in Commercial Market, it is not affordable.",playground,affordable,en,Rawalpindi,leisure,park
We visited the most oldest lodge in Lahore yesterday.,lodge,oldest,en,Lahore,tourism,hotel
Gulshan main jo khanay ka center hai wo bohat bada hai.,khanay ka center,bada,ur,Karachi,amenity,restaurant
Can you recommend a best precinct around Commercial Market?,precinct,best,en,Rawalpindi,amenity,police
"Avoid the coffee shop in Karkhano, it is not oldest.",coffee shop,oldest,en,Peshawar,amenity,cafe
Kya Islamabad main koi bada cloth market khula hai?,cloth market,bada,ur,Islamabad,shop,clothes
Is there any clean garment shop open in Rawalpindi right now?,garment shop,clean,en,Rawalpindi,shop,clothes
We visited the most crowded clinic in Islamabad yesterday.,clinic,crowded,en,Islamabad,amenity,hospital
Kya Rawalpindi main koi sasta jamia masjid khula hai?,jamia masjid,sasta,ur,Rawalpindi,amenity,mosque
Can you recommend a oldest bistro around F-7?,bistro,oldest,en,Islamabad,amenity,restaurant
Mujhay Saddar ke qareeb koi sasta tailor shop chahiye.,tailor shop,sasta,ur,Karachi,shop,tailor
I am looking for a famous playground near Saddar.,playground,famous,en,Peshawar,leisure,park
The F-7 in Islamabad has an popular precinct.,precinct,popular,en,Islamabad,amenity,police
Can you recommend a nearby tuck shop around Saddar?,tuck shop,nearby,en,Karachi,shop,convenience
I am looking for a oldest tailor shop near Defence.,tailor shop,oldest,en,Karachi,shop,tailor
Mujhay F-7 ke qareeb koi mashoor general store chahiye.,general store,mashoor,ur,Islamabad,shop,convenience
"Avoid the stitching center in Saddar, it is not historic.",stitching center,historic,en,Rawalpindi,shop,tailor
We visited the most biggest coffee shop in Peshawar yesterday.,coffee shop,biggest,en,Peshawar,amenity,cafe
I am looking for a oldest restaurant near Commercial Market.,restaurant,oldest,en,Rawalpindi,amenity,restaurant
Does Lahore have any famous hospital for tourists?,hospital,famous,en,Lahore,amenity,hospital
Hum ne Liberty Market main aik purana musafir khana dekha.,musafir khana,purana,ur,Lahore,tourism,hotel
We visited the most popular eatery in Peshawar yesterday.,eatery,popular,en,Peshawar,amenity,restaurant
Hum ne University Road main aik behtareen haspatal dekha.,haspatal,behtareen,ur,Peshawar,amenity,hospital
Agar purana eid gah dhoond rahay ho to Clifton jao.,eid gah,purana,ur,Karachi,amenity,mosque
Hum ne University Road main aik mashoor ground dekha.,ground,mashoor,ur,Peshawar,leisure,park
Mujhay University Road ke qareeb koi sasta guest house chahiye.,guest house,sasta,ur,Peshawar,tourism,hotel
We visited the most biggest playground in Islamabad yesterday.,playground,biggest,en,Islamabad,leisure,park
I am looking for a crowded fashion outlet near Saddar.,fashion outlet,crowded,en,Karachi,shop,clothes
"Avoid the cafe in Saddar, it is not popular.",cafe,popular,en,Rawalpindi,amenity,cafe
Islamabad ke F-11 Markaz main aik bohat qareebi hotel hai.,hotel,qareebi,ur,Islamabad,tourism,hotel
Agar bada haspatal dhoond rahay ho to Gulshan jao.,haspatal,bada,ur,Karachi,amenity,hospital
Is there any cheap emergency room open in Islamabad right now?,emergency room,cheap,en,Islamabad,amenity,hospital
Agar qareebi tikka shop dhoond rahay ho to Centaurus jao.,tikka shop,qareebi,ur,Islamabad,amenity,restaurant
We visited the most oldest coffee shop in Islamabad yesterday.,coffee shop,oldest,en,Islamabad,amenity,cafe
Hum ne Gulshan main aik behtareen khanay ka center dekha.,khanay ka center,behtareen,ur,Karachi,amenity,restaurant
"Avoid the tuck shop in Bahria Town, it is not luxury.",tuck shop,luxury,en,Rawalpindi,shop,convenience
Does Lahore have any famous emergency room for tourists?,emergency room,famous,en,Lahore,amenity,hospital
Peshawar ke Karkhano main aik bohat khubsurat bagh hai.,bagh,khubsurat,ur,Peshawar,leisure,park
I am looking for a cheap mosque near DHA.,mosque,cheap,en,Lahore,amenity,mosque
Kya Islamabad main koi lajawab tailor shop khula hai?,tailor shop,lajawab,ur,Islamabad,shop,tailor
Agar mehnga chaye khana dhoond rahay ho to F-11 Markaz jao.,chaye khana,mehnga,ur,Islamabad,amenity,cafe
"Avoid the playground in Saddar, it is not best.",playground,best,en,Rawalpindi,leisure,park
Anarkali main jo ground hai wo bohat purana hai.,ground,purana,ur,Lahore,leisure,park
Is there any popular police station open in Islamabad right now?,police station,popular,en,Islamabad,amenity,police
The Clifton in Karachi has an luxury mini mart.,mini mart,luxury,en,Karachi,shop,convenience
We visited the most best clothing store in Peshawar yesterday.,clothing store,best,en,Peshawar,shop,clothes
Kya Lahore main koi sasta quetta tea hotel khula hai?,quetta tea hotel,sasta,ur,Lahore,amenity,cafe
Does Lahore have any best jogging track for tourists?,jogging track,best,en,Lahore,leisure,park
Kya Rawalpindi main koi mehnga thana khula hai?,thana,mehnga,ur,Rawalpindi,amenity,police
Blue Area main jo tailor shop hai wo bohat mashoor hai.,tailor shop,mashoor,ur,Islamabad,shop,tailor
G-9 wala police station kaafi sasta hai.,police station,sasta,ur,Islamabad,amenity,police
Hum ne Defence main aik khubsurat cafe dekha.,cafe,khubsurat,ur,Karachi,amenity,cafe
Clifton wala chowki kaafi rush wala hai.,chowki,rush wala,ur,Karachi,amenity,police
Suna hai ke Islamabad main sab se pur-sukoon bagh wahan hai.,bagh,pur-sukoon,ur,Islamabad,leisure,park
The Hayatabad in Peshawar has an popular clothing store.,clothing store,popular,en,Peshawar,shop,clothes
Defence main jo masjid hai wo bohat pur-sukoon hai.,masjid,pur-sukoon,ur,Karachi,amenity,mosque
We visited the most cheap dining place in Rawalpindi yesterday.,dining place,cheap,en,Rawalpindi,amenity,restaurant
Is there any clean mosque open in Lahore right now?,mosque,clean,en,Lahore,amenity,mosque
Islamabad ke Blue Area main aik bohat mehnga imambargah hai.,imambargah,mehnga,ur,Islamabad,amenity,mosque
Raja Bazaar wala ground kaafi saaf suthra hai.,ground,saaf suthra,ur,Rawalpindi,leisure,park
F-7 wala kiryana store kaafi mashoor hai.,kiryana store,mashoor,ur,Islamabad,shop,convenience
Suna hai ke Rawalpindi main sab se bada bagh wahan hai.,bagh,bada,ur,Rawalpindi,leisure,park
Rawalpindi ke Raja Bazaar main aik bohat saaf suthra jamia masjid hai.,jamia masjid,saaf suthra,ur,Rawalpindi,amenity,mosque
Suna hai ke Rawalpindi main sab se bada chai wala wahan hai.,chai wala,bada,ur,Rawalpindi,amenity,cafe
There is a famous medical center in Commercial Market which is very famous.,medical center,famous,en,Rawalpindi,amenity,hospital
Kya Peshawar main koi behtareen khanay ka center khula hai?,khanay ka center,behtareen,ur,Peshawar,amenity,restaurant
Does Rawalpindi have any famous boutique for tourists?,boutique,famous,en,Rawalpindi,shop,clothes
Tariq Road main jo resort hai wo bohat purana hai.,resort,purana,ur,Karachi,tourism,hotel
Islamabad ke Blue Area main aik bohat mehnga bagh hai.,bagh,mehnga,ur,Islamabad,leisure,park
"Avoid the boutique in F-7, it is not cheap.",boutique,cheap,en,Islamabad,shop,clothes
We visited the most affordable garment shop in Rawalpindi yesterday.,garment shop,affordable,en,Rawalpindi,shop,clothes
Suna hai ke Peshawar main sab se mashoor musafir khana wahan hai.,musafir khana,mashoor,ur,Peshawar,tourism,hotel
Islamabad ke F-7 main aik bohat lajawab khanay ka center hai.,khanay ka center,lajawab,ur,Islamabad,amenity,restaurant
Mujhay DHA ke qareeb koi saaf suthra khanay ka center chahiye.,khanay ka center,saaf suthra,ur,Lahore,amenity,restaurant
Does Peshawar have any historic cafe for tourists?,cafe,historic,en,Peshawar,amenity,cafe
Hum ne DHA main aik purana resort dekha.,resort,purana,ur,Lahore,tourism,hotel
Is there any popular playground open in Islamabad right now?,playground,popular,en,Islamabad,leisure,park
Mujhay University Road ke qareeb koi mehnga tailor shop chahiye.,tailor shop,mehnga,ur,Peshawar,shop,tailor
Kya Rawalpindi main koi khubsurat silai markaz khula hai?,silai markaz,khubsurat,ur,Rawalpindi,shop,tailor
There is a famous stitching center in F-7 which is very cheap.,stitching center,cheap,en,Islamabad,shop,tailor
Kya Islamabad main koi rush wala park khula hai?,park,rush wala,ur,Islamabad,leisure,park
I am looking for a affordable precinct near Karkhano.,precinct,affordable,en,Peshawar,amenity,police
Can you recommend a biggest resort around Saddar?,resort,biggest,en,Karachi,tourism,hotel
Suna hai ke Peshawar main sab se lajawab general store wahan hai.,general store,lajawab,ur,Peshawar,shop,convenience
Suna hai ke Islamabad main sab se mehnga darzi wahan hai.,darzi,mehnga,ur,Islamabad,shop,tailor
Does Karachi have any crowded coffee shop for tourists?,coffee shop,crowded,en,Karachi,amenity,cafe
Can you recommend a cheap dining place around Liberty Market?,dining place,cheap,en,Lahore,amenity,restaurant
Is there any famous bistro open in Karachi right now?,bistro,famous,en,Karachi,amenity,restaurant
Can you recommend a crowded medical center around Anarkali?,medical center,crowded,en,Lahore,amenity,hospital
Can you recommend a luxury grocery store around Saddar?,grocery store,luxury,en,Peshawar,shop,convenience
We visited the most affordable stitching center in Karachi yesterday.,stitching center,affordable,en,Karachi,shop,tailor
Can you recommend a clean police station around Bahria Town?,police station,clean,en,Rawalpindi,amenity,police
Is there any famous hospital open in Rawalpindi right now?,hospital,famous,en,Rawalpindi,amenity,hospital
Centaurus wala dukaan kaafi bada hai.,dukaan,bada,ur,Islamabad,shop,convenience
Agar purana quetta tea hotel dhoond rahay ho to Liberty Market jao.,quetta tea hotel,purana,ur,Lahore,amenity,cafe
"Avoid the stitching center in Centaurus, it is not oldest.",stitching center,oldest,en,Islamabad,shop,tailor
Centaurus wala clinic kaafi behtareen hai.,clinic,behtareen,ur,Islamabad,amenity,hospital
The Bahria Town in Rawalpindi has an cheap medical center.,medical center,cheap,en,Rawalpindi,amenity,hospital
Islamabad ke G-9 main aik bohat bada resort hai.,resort,bada,ur,Islamabad,tourism,hotel
I am looking for a nearby police station near F-7.,police station,nearby,en,Islamabad,amenity,police
Does Islamabad have any luxury cafe for tourists?,cafe,luxury,en,Islamabad,amenity,cafe
Is there any affordable tailor shop open in Peshawar right now?,tailor shop,affordable,en,Peshawar,shop,tailor
Hum ne Hayatabad main aik bada ground dekha.,ground,bada,ur,Peshawar,leisure,park
Tariq Road main jo chowki hai wo bohat mashoor hai.,chowki,mashoor,ur,Karachi,amenity,police
Can you recommend a crowded mosque around Saddar?,mosque,crowded,en,Rawalpindi,amenity,mosque
We visited the most biggest Islamic center in Islamabad yesterday.,Islamic center,biggest,en,Islamabad,amenity,mosque
I am looking for a luxury stitching center near Gulberg.,stitching center,luxury,en,Lahore,shop,tailor
DHA main jo darzi hai wo bohat saaf suthra hai.,darzi,saaf suthra,ur,Lahore,shop,tailor
Does Rawalpindi have any best hotel for tourists?,hotel,best,en,Rawalpindi,tourism,hotel
Can you recommend a nearby guest house around G-9?,guest house,nearby,en,Islamabad,tourism,hotel
Does Islamabad have any affordable grocery store for tourists?,grocery store,affordable,en,Islamabad,shop,convenience
Raja Bazaar main jo kapron ki dukaan hai wo bohat bada hai.,kapron ki dukaan,bada,ur,Rawalpindi,shop,clothes
Gulshan main jo hotel hai wo bohat pur-sukoon hai.,hotel,pur-sukoon,ur,Karachi,amenity,restaurant
Suna hai ke Lahore main sab se rush wala cafe wahan hai.,cafe,rush wala,ur,Lahore,amenity,cafe
Mujhay Mall Road ke qareeb koi rush wala hotel chahiye.,hotel,rush wala,ur,Lahore,amenity,restaurant
I am looking for a oldest medical center near Saddar.,medical center,oldest,en,Rawalpindi,amenity,hospital
We visited the most nearby resort in Lahore yesterday.,resort,nearby,en,Lahore,tourism,hotel
Can you recommend a crowded grocery store around University Road?,grocery store,crowded,en,Peshawar,shop,convenience
